experiment_dir,suite,engine,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,long,long_memory_bound_reasoning,3,3.343669547292315,0.43850578199878026,0.298107995099759,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,3,3.718246587534229,0.3786290726760247,0.26807847497630327,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,medium,mandatory_medium_ml_vs_dl,3,3.870396978119546,0.359884056999969,0.25757237050127424,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,medium,medium_cpu_inference_pipeline,3,3.8653929945332277,0.36087096367070143,0.2578959797585097,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,medium,medium_quant_tradeoff,3,3.7367183995556803,0.373161289326769,0.2667761649028948,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,short,mandatory_short_capital_france,3,2.180072857154792,1.440393085659404,0.2545772802792878,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,short,short_cpu_quantisation,3,3.569263672223606,1.910633783331529,0.2673739428870903,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,short,short_threading_definition,3,3.6294804045205398,3.049329432329008,0.25367112009981013,0.0,5096256.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,4,turbo3,turbo3,128,long,long_hpc_case_study,3,1.7253262506109595,0.8002617936678386,0.5781342424776763,0.0,5063872.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,4,turbo3,turbo3,128,long,long_memory_bound_reasoning,3,1.7175117500788812,0.8952064560022942,0.5799848217138979,0.0,5063872.0
