timestamp,cpu_percent,rss_kb
2026-05-14T22:33:37+01:00,68.9,6203256
2026-05-14T22:33:38+01:00,69.0,6203256
2026-05-14T22:33:39+01:00,69.0,6203256
2026-05-14T22:33:40+01:00,69.1,6203256
2026-05-14T22:33:41+01:00,69.2,6203256
2026-05-14T22:33:42+01:00,69.3,6203384
2026-05-14T22:33:43+01:00,69.3,6204108
2026-05-14T22:33:44+01:00,69.4,6204108
2026-05-14T22:33:45+01:00,69.5,6204108
2026-05-14T22:33:46+01:00,69.6,6204108
2026-05-14T22:33:47+01:00,69.6,6204108
2026-05-14T22:33:48+01:00,69.7,6204108
2026-05-14T22:33:49+01:00,69.8,6204108
2026-05-14T22:33:50+01:00,69.9,6204108
2026-05-14T22:33:51+01:00,69.9,6204108
2026-05-14T22:33:53+01:00,70.0,6204260
2026-05-14T22:33:54+01:00,69.9,6204260
2026-05-14T22:33:55+01:00,70.0,6204260
2026-05-14T22:33:56+01:00,70.1,6204260
2026-05-14T22:33:57+01:00,70.2,6204260
2026-05-14T22:33:58+01:00,70.2,6204260
2026-05-14T22:33:59+01:00,70.3,6204260
2026-05-14T22:34:00+01:00,70.4,6204260
2026-05-14T22:34:01+01:00,70.5,6204260
2026-05-14T22:34:02+01:00,70.5,6204260
2026-05-14T22:34:03+01:00,70.6,6204288
2026-05-14T22:34:04+01:00,70.7,6204288
2026-05-14T22:34:05+01:00,70.7,6204288
2026-05-14T22:34:06+01:00,70.8,6204288
2026-05-14T22:34:07+01:00,70.9,6204288
2026-05-14T22:34:08+01:00,71.0,6204288
2026-05-14T22:34:09+01:00,71.0,6204288
2026-05-14T22:34:10+01:00,71.1,6204288
2026-05-14T22:34:12+01:00,71.2,6204288
2026-05-14T22:34:13+01:00,71.1,6204288
2026-05-14T22:34:14+01:00,71.2,6204444
2026-05-14T22:34:15+01:00,71.2,6204444
2026-05-14T22:34:16+01:00,71.3,6204444
2026-05-14T22:34:17+01:00,71.4,6204444
2026-05-14T22:34:18+01:00,71.4,6204444
2026-05-14T22:34:19+01:00,71.5,6204444
2026-05-14T22:34:20+01:00,71.6,6204444
2026-05-14T22:34:21+01:00,71.6,6204444
2026-05-14T22:34:22+01:00,71.7,6204444
2026-05-14T22:34:23+01:00,71.8,6204444
2026-05-14T22:34:24+01:00,71.8,6204460
2026-05-14T22:34:25+01:00,71.9,6204460
2026-05-14T22:34:26+01:00,72.0,6204460
2026-05-14T22:34:27+01:00,72.0,6204460
2026-05-14T22:34:28+01:00,72.1,6204460
2026-05-14T22:34:29+01:00,72.1,6204460
2026-05-14T22:34:30+01:00,72.2,6204460
2026-05-14T22:34:32+01:00,72.3,6204460
2026-05-14T22:34:33+01:00,72.2,6206584
2026-05-14T22:34:34+01:00,72.3,6206584
2026-05-14T22:34:35+01:00,72.3,6206584
2026-05-14T22:34:36+01:00,72.4,6206584
2026-05-14T22:34:37+01:00,72.5,6206584
2026-05-14T22:34:38+01:00,72.5,6206584
2026-05-14T22:34:39+01:00,72.6,6206584
2026-05-14T22:34:40+01:00,72.6,6206584
2026-05-14T22:34:41+01:00,72.7,6206584
2026-05-14T22:34:42+01:00,72.8,6206584
2026-05-14T22:34:43+01:00,72.8,6206584
2026-05-14T22:34:44+01:00,72.9,6206640
2026-05-14T22:34:45+01:00,72.9,6206640
2026-05-14T22:34:46+01:00,73.0,6206640
2026-05-14T22:34:47+01:00,73.1,6206640
2026-05-14T22:34:48+01:00,73.1,6206640
2026-05-14T22:34:49+01:00,73.2,6206640
2026-05-14T22:34:50+01:00,73.3,6206640
2026-05-14T22:34:52+01:00,73.2,6206640
2026-05-14T22:34:53+01:00,73.2,6206640
2026-05-14T22:34:54+01:00,73.3,6206640
2026-05-14T22:34:55+01:00,73.4,6206640
2026-05-14T22:34:56+01:00,73.4,6206640
2026-05-14T22:34:57+01:00,73.5,6206640
2026-05-14T22:34:58+01:00,73.5,6206640
2026-05-14T22:34:59+01:00,73.6,6206640
2026-05-14T22:35:00+01:00,73.6,6206640
2026-05-14T22:35:01+01:00,73.7,6206640
2026-05-14T22:35:02+01:00,73.8,6206640
2026-05-14T22:35:03+01:00,73.8,6206640
2026-05-14T22:35:04+01:00,73.9,6206640
2026-05-14T22:35:05+01:00,73.9,6206640
2026-05-14T22:35:06+01:00,74.0,6206640
2026-05-14T22:35:07+01:00,74.0,6206640
2026-05-14T22:35:08+01:00,74.1,6206640
2026-05-14T22:35:09+01:00,74.2,6206640
2026-05-14T22:35:11+01:00,74.2,6206640
2026-05-14T22:35:12+01:00,74.1,6206640
2026-05-14T22:35:13+01:00,74.2,6206640
2026-05-14T22:35:14+01:00,74.2,6206640
2026-05-14T22:35:15+01:00,74.3,6206640
2026-05-14T22:35:16+01:00,74.4,6206640
2026-05-14T22:35:17+01:00,74.4,6206640
2026-05-14T22:35:18+01:00,74.5,6206640
2026-05-14T22:35:19+01:00,74.5,6206640
2026-05-14T22:35:20+01:00,74.6,6206640
2026-05-14T22:35:21+01:00,74.6,6206640
2026-05-14T22:35:22+01:00,74.7,6208756
2026-05-14T22:35:23+01:00,74.7,6208756
2026-05-14T22:35:24+01:00,74.8,6208756
2026-05-14T22:35:25+01:00,74.8,6208756
2026-05-14T22:35:26+01:00,74.9,6208756
2026-05-14T22:35:27+01:00,75.0,6208756
2026-05-14T22:35:28+01:00,75.0,6208756
2026-05-14T22:35:29+01:00,75.1,6208756
2026-05-14T22:35:31+01:00,75.0,6208756
2026-05-14T22:35:32+01:00,75.0,6208756
2026-05-14T22:35:33+01:00,75.1,6208756
2026-05-14T22:35:34+01:00,75.1,6208756
2026-05-14T22:35:35+01:00,75.2,6208756
2026-05-14T22:35:36+01:00,75.2,6208756
2026-05-14T22:35:37+01:00,75.3,6208756
2026-05-14T22:35:38+01:00,75.3,6208756
2026-05-14T22:35:39+01:00,75.4,6208756
2026-05-14T22:35:40+01:00,75.4,6208756
2026-05-14T22:35:41+01:00,75.5,6208756
2026-05-14T22:35:42+01:00,75.5,6208756
2026-05-14T22:35:43+01:00,75.6,6208756
2026-05-14T22:35:44+01:00,75.7,6208756
2026-05-14T22:35:45+01:00,75.7,6208756
2026-05-14T22:35:46+01:00,75.8,6208756
2026-05-14T22:35:47+01:00,75.8,6208756
2026-05-14T22:35:48+01:00,75.9,6208756
2026-05-14T22:35:50+01:00,75.8,6208756
2026-05-14T22:35:51+01:00,75.8,6208756
2026-05-14T22:35:52+01:00,75.9,6208756
2026-05-14T22:35:53+01:00,75.9,6208756
2026-05-14T22:35:54+01:00,76.0,6208756
2026-05-14T22:35:55+01:00,76.0,6208756
2026-05-14T22:35:56+01:00,76.1,6208756
2026-05-14T22:35:57+01:00,76.1,6208756
2026-05-14T22:35:58+01:00,76.2,6208756
2026-05-14T22:35:59+01:00,76.2,6208756
2026-05-14T22:36:00+01:00,76.3,6208756
2026-05-14T22:36:01+01:00,76.3,6208756
2026-05-14T22:36:02+01:00,76.4,6208756
2026-05-14T22:36:03+01:00,76.4,6208756
2026-05-14T22:36:04+01:00,76.5,6208756
2026-05-14T22:36:05+01:00,76.5,6208756
2026-05-14T22:36:06+01:00,76.5,6208756
2026-05-14T22:36:07+01:00,76.6,6208756
2026-05-14T22:36:09+01:00,76.6,6208756
2026-05-14T22:36:10+01:00,76.6,6208756
2026-05-14T22:36:11+01:00,76.6,6208756
2026-05-14T22:36:12+01:00,76.7,6208884
2026-05-14T22:36:13+01:00,76.7,6208884
2026-05-14T22:36:14+01:00,76.7,6208884
2026-05-14T22:36:15+01:00,76.8,6208884
2026-05-14T22:36:16+01:00,76.8,6208884
2026-05-14T22:36:17+01:00,76.9,6208884
2026-05-14T22:36:18+01:00,76.9,6208884
2026-05-14T22:36:19+01:00,77.0,6208884
2026-05-14T22:36:20+01:00,77.0,6208884
2026-05-14T22:36:21+01:00,77.1,6208884
2026-05-14T22:36:22+01:00,77.1,6208884
2026-05-14T22:36:23+01:00,77.2,6208884
2026-05-14T22:36:24+01:00,77.2,6208884
2026-05-14T22:36:25+01:00,77.2,6208884
2026-05-14T22:36:26+01:00,77.3,6208884
2026-05-14T22:36:27+01:00,77.3,6208884
2026-05-14T22:36:29+01:00,77.3,6208884
2026-05-14T22:36:30+01:00,77.3,6208884
2026-05-14T22:36:31+01:00,77.3,6208884
2026-05-14T22:36:32+01:00,77.4,6208884
2026-05-14T22:36:33+01:00,77.4,6208884
2026-05-14T22:36:34+01:00,77.5,6208884
2026-05-14T22:36:35+01:00,77.5,6208884
2026-05-14T22:36:36+01:00,77.6,6208884
2026-05-14T22:36:37+01:00,77.6,6208884
2026-05-14T22:36:38+01:00,77.6,6208884
2026-05-14T22:36:39+01:00,77.7,6208884
2026-05-14T22:36:40+01:00,77.7,6208884
