experiment_dir,suite,engine,node_count,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,medium,medium_concurrency,1,0.8040694335966013,1.6057369890040718,1.2408027061812148,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,medium,medium_cpu_inference_pipeline,1,0.8040905786477143,1.6051462780160364,1.240783926267516,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,medium,medium_quant_tradeoff,1,0.8041082101091439,1.6019435209746007,1.2407861676850396,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,medium,medium_thread_scaling,1,0.8040774717028336,1.6055992390029132,1.2407783021731944,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,short,mandatory_short_capital_france,1,0.5660687807844365,1.6125441520125605,1.5505560163340608,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,short,short_batching,1,0.8040479268791,1.610220976988785,1.240807082740073,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,short,short_cpu_quantisation,1,0.8040530212969701,1.6126075020001736,1.2407741609999294,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,short,short_kv_cache,1,0.8040412618787052,1.6122831009852234,1.2407871352913826,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo2,turbo2,128,short,short_threading_definition,1,0.8040670920218898,1.6080502230033744,1.2407812658739992,0.0,5115648.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,long,long_concurrency_server,1,0.6581942485377396,1.8395690999750514,1.494636521000827,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,long,long_quantisation_evaluation,1,0.595084761436922,1.8326246509968769,1.6498673567955848,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,long,mandatory_long_transformer_cpu,1,0.7488768938954394,1.835648529988248,1.3289918380382741,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,1,0.7775328439397905,1.840576868999051,1.2817437998424779,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,medium,medium_concurrency,1,0.7775063720174544,1.8397486000030767,1.2817485853385704,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,medium,medium_cpu_inference_pipeline,1,0.7775142716031618,1.8424311690032482,1.281757194377889,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,medium,medium_quant_tradeoff,1,0.7775312815921194,1.8403584100014996,1.2817427526692415,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,medium,medium_thread_scaling,1,0.7775516732722143,1.8378120599954855,1.28174012717328,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,short,mandatory_short_capital_france,1,0.6042873118120791,0.15668710798490793,1.6567780591673607,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,short,short_batching,1,0.7774865606480014,1.8469720980210695,1.2817506925590194,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,short,short_cpu_quantisation,1,0.777491316829428,1.846116228000028,1.2817577575276125,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,short,short_kv_cache,1,0.7774999856825091,1.8486281179939397,1.281725993598573,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,short,short_threading_definition,1,0.7774902310155256,1.8463753880059812,1.281740550133748,0.0,5164736.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,long,long_concurrency_server,1,0.6884532394799493,1.5916352240019478,1.441791331458192,0.0,5217728.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,long,long_quantisation_evaluation,1,0.6421383542132912,1.5938455919967964,1.5498988421983086,0.0,5217728.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,1,0.7645735410930722,1.5893015440087765,1.3043504790756615,0.0,5217728.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,medium,mandatory_medium_ml_vs_dl,1,0.7885063322777297,1.591006083006505,1.2656754699840915,0.0,5217728.0
